Year,Year_Level,LGA_KEY,LGA_DESC,INDICATOR_NUM_FULL,Numerator,Denominator,Indicator_Calc
2008,Year 3,20110,Alpine (S),11.1,135,145,93.1%
2008,Year 3,20260,Ararat (Rc),11.1,126,137,92.0%
2008,Year 3,20570,Ballarat (C),11.1,1090,1186,91.9%
2008,Year 3,20660,Banyule (C),11.1,1421,1472,96.5%
2008,Year 3,20740,Bass Coast (S),11.1,253,273,92.7%
2008,Year 3,20830,Baw Baw (S),11.1,500,526,95.1%
2008,Year 3,20910,Bayside (C),11.1,1318,1336,98.7%
2008,Year 3,21010,Benalla (Rc),11.1,139,146,95.2%
2008,Year 3,21110,Boroondara (C),11.1,1994,2029,98.3%
2008,Year 3,21180,Brimbank (C),11.1,2191,2366,92.6%
2008,Year 3,21270,Buloke (S),11.1,85,93,91.4%
2008,Year 3,21370,Campaspe (S),11.1,545,572,95.3%
2008,Year 3,21450,Cardinia (S),11.1,846,886,95.5%
2008,Year 3,21610,Casey (C),11.1,3324,3566,93.2%
2008,Year 3,21670,Central Goldfields (S),11.1,133,141,94.3%
2008,Year 3,21750,Colac-Otway (S),11.1,235,250,94.0%
2008,Year 3,21830,Corangamite (S),11.1,228,243,93.8%
2008,Year 3,21890,Darebin (C),11.1,1060,1138,93.1%
2008,Year 3,22110,East Gippsland (S),11.1,449,479,93.7%
2008,Year 3,22170,Frankston (C),11.1,1432,1539,93.0%
2008,Year 3,22250,Gannawarra (S),11.1,127,132,96.2%
2008,Year 3,22410,Glen Eira (C),11.1,1327,1387,95.7%
2008,Year 3,22490,Glenelg (S),11.1,247,266,92.9%
2008,Year 3,22490,Golden Plains (S),11.1,205,209,98.1%
2008,Year 3,22670,Greater Bendigo (C),11.1,1166,1244,93.7%
2008,Year 3,22310,Greater Dandenong (C),11.1,1443,1584,91.1%
2008,Year 3,22750,Greater Geelong (C),11.1,2421,2575,94.0%
2008,Year 3,22830,Greater Shepparton (C),11.1,824,892,92.4%
2008,Year 3,22910,Hepburn (S),11.1,146,150,97.3%
2008,Year 3,22980,Hindmarsh (S),11.1,78,78,100.0%
2008,Year 3,23110,Hobsons Bay (C),11.1,864,928,93.1%
2008,Year 3,23190,Horsham (Rc),11.1,242,255,94.9%
2008,Year 3,23270,Hume (C),11.1,2089,2273,91.9%
2008,Year 3,23350,Indigo (S),11.1,157,166,94.6%
2008,Year 3,23430,Kingston (C),11.1,1356,1410,96.2%
2008,Year 3,23670,Knox (C),11.1,1737,1828,95.0%
2008,Year 3,23810,Latrobe (C),11.1,904,973,92.9%
2008,Year 3,23940,Loddon (S),11.1,70,73,95.9%
2008,Year 3,24130,Macedon Ranges (S),11.1,561,592,94.8%
2008,Year 3,24210,Manningham (C),11.1,1095,1138,96.2%
2008,Year 3,24250,Mansfield (S),11.1,84,88,95.5%
2008,Year 3,24330,Maribyrnong (C),11.1,511,561,91.1%
2008,Year 3,24410,Maroondah (C),11.1,1120,1161,96.5%
2008,Year 3,24600,Melbourne (C),11.1,206,219,94.1%
2008,Year 3,24650,Melton (S),11.1,1173,1252,93.7%
2008,Year 3,24780,Mildura (Rc),11.1,685,729,94.0%
2008,Year 3,24850,Mitchell (S),11.1,472,498,94.8%
2008,Year 3,24900,Moira (S),11.1,327,357,91.6%
2008,Year 3,24970,Monash (C),11.1,1704,1792,95.1%
2008,Year 3,25060,Moonee Valley (C),11.1,1363,1453,93.8%
2008,Year 3,25150,Moorabool (S),11.1,359,375,95.7%
2008,Year 3,25250,Moreland (C),11.1,1226,1308,93.7%
2008,Year 3,25340,Mornington Peninsula (S),11.1,1686,1777,94.9%
2008,Year 3,25430,Mount Alexander (S),11.1,167,184,90.8%
2008,Year 3,25490,Moyne (S),11.1,158,168,94.0%
2008,Year 3,25620,Murrindindi (S),11.1,131,141,92.9%
2008,Year 3,25710,Nillumbik (S),11.1,812,850,95.5%
2008,Year 3,25810,Northern Grampians (S),11.1,134,141,95.0%
2008,Year 3,25900,Port Phillip (C),11.1,453,482,94.0%
2008,Year 3,25990,Pyrenees (S),11.1,60,67,89.6%
2008,Year 3,26080,Queenscliffe (B),11.1,32,35,91.4%
2008,Year 3,26170,South Gippsland (S),11.1,310,333,93.1%
2008,Year 3,26260,Southern Grampians (S),11.1,179,192,93.2%
2008,Year 3,26350,Stonnington (C),11.1,760,772,98.4%
2008,Year 3,26430,Strathbogie (S),11.1,101,112,90.2%
2008,Year 3,26490,Surf Coast (S),11.1,284,296,95.9%
2008,Year 3,26610,Swan Hill (Rc),11.1,299,333,89.8%
2008,Year 3,26670,Towong (S),11.1,69,74,93.2%
2008,Year 3,29399,Unincorporated Vic,11.1,NDP,NDP,NDP
2008,Year 3,26700,Wangaratta (Rc),11.1,303,316,95.9%
2008,Year 3,26730,Warrnambool (C),11.1,426,447,95.3%
2008,Year 3,26810,Wellington (S),11.1,469,504,93.1%
2008,Year 3,26890,West Wimmera (S),11.1,57,58,98.3%
2008,Year 3,26980,Whitehorse (C),11.1,1669,1731,96.4%
2008,Year 3,27070,Whittlesea (C),11.1,1500,1580,94.9%
2008,Year 3,27170,Wodonga (Rc),11.1,492,520,94.6%
2008,Year 3,27260,Wyndham (C),11.1,1842,1969,93.6%
2008,Year 3,27350,Yarra (C),11.1,566,588,96.3%
2008,Year 3,27450,Yarra Ranges (S),11.1,1841,1927,95.5%
2008,Year 3,27630,Yarriambiack (S),11.1,87,98,88.8%
2008,Year 5,20110,Alpine (S),11.1,146,160,91.3%
2008,Year 5,20260,Ararat (Rc),11.1,134,149,89.9%
